Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
DenseNet121,rf,1,0.8776223776223776,0.8782114060058444,0.8777752199477956,0.9596391651327351,0.8761276961506548,0.9795445747172818,76.89920592308044
DenseNet121,rf,2,0.8881118881118881,0.8853810914355499,0.8845134524080324,0.9628488968393805,0.8839699663104621,0.9804322931677985,89.83804893493652
DenseNet121,rf,3,0.8669001751313485,0.8623736583473212,0.8613745008307343,0.9565308350294468,0.8588327065462527,0.9763227107603244,81.82173800468445
DenseNet121,rf,4,0.9106830122591943,0.9102444481114018,0.9022086989443677,0.9700539028970305,0.9051679912965236,0.980562544946606,84.25672006607056
DenseNet121,rf,5,0.8774080560420315,0.8793010463579126,0.873462490352272,0.9593446382505078,0.8740756541688519,0.9774696249310146,101.44746088981628
DenseNet121,rf,6,0.8914185639229422,0.8907884362190415,0.8845495434383632,0.9639335363917292,0.8853618104417118,0.980591738309065,87.93089008331299
DenseNet121,rf,7,0.8984238178633975,0.9031280320912558,0.8979546240832448,0.965560728879775,0.8993977290634952,0.9817057771550043,90.43865489959717
DenseNet121,rf,8,0.8879159369527145,0.8832337748525686,0.8828317329436732,0.9629834693809534,0.8818887974770327,0.9758289362073274,82.72909474372864
DenseNet121,rf,9,0.8844133099824869,0.8796876720927354,0.8807896250007266,0.9624743149187133,0.8784579739965496,0.9814834883774026,84.42646193504333
DenseNet121,rf,10,0.8984238178633975,0.903206372623228,0.8929527617637085,0.9658894493618584,0.8964559916483457,0.9829456812202111,85.03797888755798
