Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
DenseNet121,softmax,1,0.8321678321678322,0.839588152527905,0.8305075360835009,0.9443923967620721,0.8231865475343026,0.9682559236887339,510.0142090320587
DenseNet121,softmax,2,0.8513986013986014,0.8564891542625788,0.8480362847859648,0.9512832050628199,0.8375947190345373,0.9745761306401531,490.7187578678131
DenseNet121,softmax,3,0.8704028021015762,0.8614356702405435,0.8571799810858166,0.9571299381717934,0.8558734623505604,0.9729447686448512,481.1689999103546
DenseNet121,softmax,4,0.8563922942206655,0.8528247359036867,0.8444454342543515,0.9524260896717812,0.8392570281124498,0.9681643643577632,500.21165585517883
DenseNet121,softmax,5,0.851138353765324,0.8458949973913297,0.8462524335801713,0.9504585803021781,0.843702412210191,0.9632385898713954,499.17272114753723
DenseNet121,softmax,6,0.861646234676007,0.8581025735285455,0.8479501702380557,0.9538094526128118,0.8420002340823969,0.9768245665577501,510.9011709690094
DenseNet121,softmax,7,0.8563922942206655,0.8722281984817846,0.8630377327672384,0.9521555107642017,0.8491672436887564,0.98067975391392,553.1476118564606
DenseNet121,softmax,8,0.8581436077057794,0.8585619507433587,0.8502376354988295,0.953199694110463,0.8442007181199314,0.9745935985369859,554.383850812912
DenseNet121,softmax,9,0.8493870402802102,0.8648490986375793,0.8263866610705656,0.9491016757482131,0.8185839380606822,0.9729520459420449,582.760174036026
DenseNet121,softmax,10,0.8371278458844134,0.8334815677007783,0.8324555805255296,0.9460569557359613,0.8206080429990674,0.9724130942793003,601.4853601455688
