Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
DenseNet121,svm,1,0.9370629370629371,0.9375389793193134,0.9364003411860116,0.9791677261673948,0.9361785629009693,0.9945673591082326,84.15844798088074
DenseNet121,svm,2,0.9527972027972028,0.9518106051448116,0.9506255192704194,0.9843196467467565,0.9510467435098944,0.995164093751562,88.93487906455994
DenseNet121,svm,3,0.9387040280210157,0.9362020364025175,0.9378388521293031,0.9802294458977405,0.9353217254099477,0.9944193233840225,90.17554783821106
DenseNet121,svm,4,0.9597197898423818,0.9591034934528574,0.9551476301476302,0.9866169762236474,0.9567584200409751,0.993244168688243,91.56656408309937
DenseNet121,svm,5,0.9387040280210157,0.940601733661162,0.9368850805551253,0.9796779116256457,0.9375003895941987,0.9934545881818511,84.16909599304199
DenseNet121,svm,6,0.9492119089316988,0.9480115673508974,0.9447520805909848,0.9832479926557234,0.945747793650541,0.9946809289780756,87.08420395851135
DenseNet121,svm,7,0.9334500875656743,0.9366742147778179,0.9343967648908094,0.9774202160227663,0.9351731373909419,0.9923223674808213,82.7076849937439
DenseNet121,svm,8,0.9439579684763573,0.9437852712394518,0.9410409739514218,0.9814361390757845,0.9418189779595809,0.9888364763297516,86.58039498329163
DenseNet121,svm,9,0.9422066549912435,0.9383707961927463,0.9405366403490037,0.9813800894713629,0.9383041319826471,0.9948313851188733,81.00778818130493
DenseNet121,svm,10,0.9439579684763573,0.9468193162730594,0.9400646678933042,0.9811764154457709,0.942557123655914,0.9938399374120377,85.41896295547485
