Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
InceptionV3,rf,1,0.7867132867132867,0.7862435169500387,0.7850848964781167,0.9296205246015028,0.7831186880630905,0.9467463968174001,69.11878204345703
InceptionV3,rf,2,0.8164335664335665,0.8141585344975175,0.810696230987973,0.9389331063558842,0.8090122342474998,0.9521752212367304,62.83267402648926
InceptionV3,rf,3,0.809106830122592,0.8030856659979018,0.8014805449487148,0.937163941239251,0.7982353067532918,0.9532736872289881,60.70495414733887
InceptionV3,rf,4,0.8493870402802102,0.8434649512484053,0.838931698167367,0.9497183816525192,0.8405351409954531,0.9581380082858331,65.67806887626648
InceptionV3,rf,5,0.8108581436077058,0.8131613130678099,0.8059965898834953,0.937183448363309,0.8060839617812711,0.9540103991634237,62.40234112739563
InceptionV3,rf,6,0.7880910683012259,0.7754517888358514,0.7719784788489794,0.930000951976161,0.7713887685277481,0.9487333488699525,67.06374192237854
InceptionV3,rf,7,0.8003502626970228,0.8069178430181096,0.8021033776654393,0.9331658966731309,0.7981821861516081,0.9513703957515691,62.820138931274414
InceptionV3,rf,8,0.7740805604203153,0.762094857399712,0.7646507224119165,0.9252380854302272,0.7614246391501023,0.9422361847289789,69.44559097290039
InceptionV3,rf,9,0.7968476357267951,0.7888282556750299,0.792201953017863,0.9332090155668397,0.7870175240279158,0.9425386715891029,67.90149927139282
InceptionV3,rf,10,0.8213660245183888,0.8141439126970437,0.8132661994765863,0.9408161871991232,0.8118803127695715,0.956101092143292,82.90997791290283
