Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
InceptionV3,softmax,1,0.777972027972028,0.795250361896802,0.7751526883298072,0.9264669889148205,0.7506861819492892,0.9484878102115408,510.96274304389954
InceptionV3,softmax,2,0.7692307692307693,0.7610447233057546,0.760198167899982,0.923141705599787,0.7548389577393304,0.9322422198079618,507.39929008483887
InceptionV3,softmax,3,0.7915936952714536,0.7741526364534321,0.772254488070138,0.9302867173504131,0.7691678685796925,0.9305193350067165,542.1460750102997
InceptionV3,softmax,4,0.8056042031523643,0.7991897679049633,0.7835825798405416,0.935057782212232,0.7847916085281669,0.9555916428516147,547.1959109306335
InceptionV3,softmax,5,0.7723292469352014,0.7677434250797366,0.7656171692198972,0.9239759787315213,0.7620252265670152,0.9417473443695057,531.0244240760803
InceptionV3,softmax,6,0.7845884413309983,0.7830916627603375,0.7743425301790295,0.929634918933364,0.760914204489771,0.9497143424975313,577.0067603588104
InceptionV3,softmax,7,0.7775831873905429,0.784002240437303,0.7771769024179027,0.925306013610854,0.7705994304825057,0.9394223848604897,538.3819756507874
InceptionV3,softmax,8,0.7705779334500875,0.7634288837513022,0.7583824508824509,0.9229812320211854,0.7541377377994509,0.9325985868247844,565.4039199352264
InceptionV3,softmax,9,0.7688266199649737,0.7653555776415365,0.7451409906253404,0.92258283418836,0.7385088520970732,0.9477523374021796,580.5720219612122
InceptionV3,softmax,10,0.7688266199649737,0.7808086147527169,0.766471082726853,0.9251972264872755,0.7539082431739861,0.9483958790016774,578.6189439296722
