Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
InceptionV3,svm,1,0.8776223776223776,0.8751657259605492,0.8759315463137194,0.9596059011642779,0.8749718045104933,0.9790495981311707,99.75827622413635
InceptionV3,svm,2,0.8968531468531469,0.8959012001559156,0.8916000537397898,0.9656716051453791,0.8921812370736667,0.9808399772389231,104.02130484580994
InceptionV3,svm,3,0.8861646234676007,0.8825436420805529,0.8820656539157866,0.963137493266009,0.8787824446864391,0.9803017463330167,96.78955101966858
InceptionV3,svm,4,0.9159369527145359,0.9097204266527894,0.9080337302471061,0.9723125594901669,0.9087804989124592,0.9839971297402895,99.80986499786377
InceptionV3,svm,5,0.8774080560420315,0.8819723644174651,0.8741346616972289,0.9594401728485722,0.8749104213349065,0.9773454650950686,96.37054586410522
InceptionV3,svm,6,0.8791593695271454,0.8740336930494728,0.8686680397969437,0.9599868169660601,0.8694552553594881,0.9809596883171405,99.45652031898499
InceptionV3,svm,7,0.8844133099824869,0.8846351115703376,0.8864422426876853,0.9612154408561421,0.8847371774646049,0.9828831560635498,95.94944405555725
InceptionV3,svm,8,0.8739054290718039,0.8692134324057234,0.8664050501737068,0.9582806245051358,0.8669775100973396,0.9715814038608479,96.31125211715698
InceptionV3,svm,9,0.882661996497373,0.8785500969461254,0.8801978906673945,0.9618657758522876,0.8772152361556583,0.9771434182824117,90.66629409790039
InceptionV3,svm,10,0.8966725043782837,0.8951633245286058,0.8925420836888507,0.9656300439166376,0.8935443360139432,0.9797520183814038,91.16920685768127
