Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
ResNet101,rf,1,0.8024475524475524,0.801571743358153,0.801634496996791,0.9347218849441421,0.7989990006090708,0.9437567023592498,63.054593086242676
ResNet101,rf,2,0.8111888111888111,0.8063358874190845,0.8042787276280237,0.9373262094466113,0.8018160871882336,0.946530677754736,63.22041702270508
ResNet101,rf,3,0.8231173380035026,0.8171498703031508,0.8151073396099922,0.941415491472678,0.8123559840865482,0.9568936882438803,65.107088804245
ResNet101,rf,4,0.8458844133099825,0.8363505340618574,0.831491420822631,0.9488896087889553,0.8328266331962502,0.9530374968869557,67.60951709747314
ResNet101,rf,5,0.8231173380035026,0.8209790554284262,0.8179629694982571,0.941242874760845,0.8164627294540843,0.9540845408328353,69.2267918586731
ResNet101,rf,6,0.8073555166374781,0.8041769904603753,0.7909827488825768,0.935885985764598,0.7911909799956505,0.9449370382387898,69.16398406028748
ResNet101,rf,7,0.8178633975481612,0.8181110469972797,0.8177018027349395,0.9388035314334913,0.8159345482308581,0.9524640529683759,69.2303740978241
ResNet101,rf,8,0.819614711033275,0.8143830385904636,0.8127440966993207,0.94048518908086,0.8102978582777673,0.9556755772079619,69.6820650100708
ResNet101,rf,9,0.809106830122592,0.8010798764165239,0.8014632454557812,0.9372965215850424,0.7990688774984673,0.9434446857465629,73.57655310630798
ResNet101,rf,10,0.8073555166374781,0.8009715756542097,0.7979694607770924,0.9357598942446123,0.7986309558494817,0.95149489938363,72.19162702560425
