Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
ResNet101,softmax,1,0.7202797202797203,0.7170241210604165,0.7154521618276032,0.9064777721441486,0.6924115558851784,0.9310362710461623,405.4142961502075
ResNet101,softmax,2,0.7412587412587412,0.7599632891754655,0.7375440819056479,0.9151656794702675,0.70370102101295,0.9415373910155409,414.4564712047577
ResNet101,softmax,3,0.7162872154115587,0.748191261914088,0.694628849635481,0.9055937308718862,0.6801526326009281,0.9106674863808901,260.09028601646423
ResNet101,softmax,4,0.7828371278458844,0.7800526774472841,0.7628720447987964,0.9272207120104636,0.7546918767507003,0.9438739029099468,411.88035798072815
ResNet101,softmax,5,0.7302977232924693,0.7311932349790833,0.7206350606769388,0.9102001045132452,0.6852599742350839,0.9397945968642365,414.13535618782043
ResNet101,softmax,6,0.7495621716287215,0.7400670301808238,0.7263177205183858,0.916310893114839,0.7109308496097952,0.9328518643622733,420.33092308044434
ResNet101,softmax,7,0.7495621716287215,0.7574841246716246,0.7561938129603534,0.9170589271518909,0.7282999652694895,0.9355974536960047,419.57051610946655
ResNet101,softmax,8,0.7513134851138353,0.7597806814677768,0.7380774697938878,0.91657316109705,0.7126171183818311,0.9405602639459834,419.9910361766815
ResNet101,softmax,9,0.7688266199649737,0.7754723291474728,0.7465507223229191,0.9218803262490487,0.7369276431439595,0.9393476488276187,422.5648248195648
ResNet101,softmax,10,0.7320490367775832,0.7409694604501689,0.7226514973250929,0.9116804361473635,0.6899839236978744,0.9308309383153701,424.3740921020508
