Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
ResNet101,svm,1,0.8269230769230769,0.8275416632183472,0.8258520756294052,0.9423494530236823,0.8238897132137635,0.959756330232122,103.70733904838562
ResNet101,svm,2,0.8444055944055944,0.8417509637752216,0.8378476838296098,0.9480666166325191,0.8379621197828633,0.963821080950528,102.90324306488037
ResNet101,svm,3,0.8493870402802102,0.847724950542774,0.8441593147495003,0.9501309368698412,0.8432450893397185,0.9650292265958615,102.97837281227112
ResNet101,svm,4,0.8756567425569177,0.8722741500412832,0.8640273385496315,0.958480981718302,0.8664031425371143,0.9666004831973201,107.33962917327881
ResNet101,svm,5,0.8336252189141856,0.8326838073648799,0.829145135595373,0.9445209332538258,0.8290318627450981,0.9649672627947309,103.70476794242859
ResNet101,svm,6,0.8493870402802102,0.8463171998658083,0.8368752870567042,0.9496176727612844,0.8387428900694678,0.9598005402969203,102.31395602226257
ResNet101,svm,7,0.8336252189141856,0.8341831566413627,0.8338509523075301,0.9442495026901685,0.8311868622859866,0.9665993061328461,101.52727508544922
ResNet101,svm,8,0.8371278458844134,0.8344621444888458,0.8292427100262921,0.945767534157892,0.8293303471471243,0.9653750136162643,107.30840802192688
ResNet101,svm,9,0.8353765323992994,0.8279384905024165,0.8277147978372771,0.9456617047665804,0.8264216508119122,0.9660884432053939,102.58475804328918
ResNet101,svm,10,0.8388791593695272,0.8342429681038717,0.8325596280341732,0.9462859278597046,0.8330632666857724,0.962585734681413,105.68246698379517
