Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
VGG16,rf,1,0.8688811188811189,0.8692439118574784,0.8682035813633713,0.9567689850111485,0.8667323430912632,0.9733098344658498,37.70113015174866
VGG16,rf,2,0.8811188811188811,0.8779125026963919,0.8772005728525788,0.9606411200329363,0.8765030712464454,0.9777995261128364,38.01806282997131
VGG16,rf,3,0.8704028021015762,0.8664084022038567,0.8639204665066734,0.9575632663722398,0.8618118696943409,0.9750262176820004,37.82131385803223
VGG16,rf,4,0.8966725043782837,0.8944672878131261,0.8876010843367532,0.9654807804676191,0.8901206447510503,0.9778180202128283,37.725247859954834
VGG16,rf,5,0.8739054290718039,0.8754263277847856,0.8699596652535182,0.9581734524041657,0.8697847351677258,0.9772654822886596,37.78624677658081
VGG16,rf,6,0.8791593695271454,0.8806976472255341,0.869659742016027,0.9596621492129047,0.8721281827955135,0.9790590302022082,37.940629959106445
VGG16,rf,7,0.8879159369527145,0.8985999509292768,0.8878739834941567,0.9618239350590603,0.8904191403743009,0.9793415428019606,37.71010208129883
VGG16,rf,8,0.8774080560420315,0.8753406224778048,0.8732730329372121,0.9594558520801502,0.8723707742639041,0.9760167657928265,37.68766117095947
VGG16,rf,9,0.8739054290718039,0.8697523617796327,0.8693499031244918,0.9588738077698806,0.8671998257668615,0.9762972673994562,37.42479491233826
VGG16,rf,10,0.8879159369527145,0.8898772644087298,0.8827569092291463,0.9623565079533867,0.8852268276140616,0.9797542335678363,37.70961833000183
