Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
VGG16,softmax,1,0.8513986013986014,0.8541358573322784,0.8524736386050041,0.9509095494189027,0.8509916160175225,0.9664515293120841,331.9432029724121
VGG16,softmax,2,0.8601398601398601,0.8588968203909655,0.8560012200581341,0.9535557050408396,0.8558010252366017,0.9681998354302389,333.81269097328186
VGG16,softmax,3,0.8546409807355516,0.847092420003908,0.8456041526996434,0.9522996365380804,0.8444014307219012,0.9634548436410102,335.05268692970276
VGG16,softmax,4,0.8669001751313485,0.8670043194939541,0.8587763351298383,0.9558115858860402,0.8615582035249479,0.9648817672333961,330.13964676856995
VGG16,softmax,5,0.8528896672504378,0.8578843289158722,0.8485844552799622,0.95120177591959,0.8497035251907169,0.9674262925308803,334.0530149936676
VGG16,softmax,6,0.8756567425569177,0.8777490176785745,0.8643364556766978,0.9586785249939864,0.8673155022644411,0.9659205962542801,334.58560609817505
VGG16,softmax,7,0.8388791593695272,0.8478529279882054,0.8403962737257678,0.9453312622090804,0.8399676692192088,0.9715351915123582,332.70884704589844
VGG16,softmax,8,0.861646234676007,0.8555115726764078,0.8577367532964548,0.9544926927289812,0.8555066601238198,0.9688170734330634,334.30943393707275
VGG16,softmax,9,0.8633975481611208,0.8598453672390178,0.8595029907661356,0.9555867099784034,0.8568031200859658,0.9675035130134216,331.0437240600586
VGG16,softmax,10,0.861646234676007,0.8683794713038625,0.8545226741754554,0.9534030691921346,0.8587432821328844,0.9643626114182319,332.1236469745636
