Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
VGG16,svm,1,0.9318181818181818,0.931769624021534,0.9315175233649704,0.9774328003926244,0.9312393928882841,0.99288265385713,40.305217027664185
VGG16,svm,2,0.9318181818181818,0.9313290584858962,0.9288609286507288,0.977259458684202,0.9297714668196595,0.9920989888991418,40.312538862228394
VGG16,svm,3,0.9176882661996497,0.9133444845813643,0.9140606630328116,0.9733399326815375,0.9121253304434136,0.9877691580291992,40.42684531211853
VGG16,svm,4,0.9404553415061296,0.9376465456896598,0.933460585769503,0.9804742879426029,0.9349041385829361,0.989011423336916,40.557592153549194
VGG16,svm,5,0.9141856392294221,0.9158044623752539,0.911720886734856,0.9715923596655457,0.9120893038840419,0.991207781283767,40.94650983810425
VGG16,svm,6,0.9404553415061296,0.939578157588026,0.9346516715469583,0.9801857683414821,0.9363797088618165,0.9926501862841934,40.809873819351196
VGG16,svm,7,0.9299474605954466,0.931870726223014,0.9307279533733088,0.9763218722058677,0.9308743112345691,0.9919701603495699,40.63587808609009
VGG16,svm,8,0.9211908931698775,0.919281045751634,0.916617636095248,0.9738447852841616,0.9172909574849517,0.9901379718017173,40.85411620140076
VGG16,svm,9,0.9194395796847635,0.9150760935694771,0.916915299621803,0.9738363318578143,0.9146419981164766,0.9899030503620343,40.95997595787048
VGG16,svm,10,0.9352014010507881,0.935068581912122,0.9303101181783937,0.9784675944929183,0.9320196113265282,0.9885155153020936,40.67608714103699
