Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
Xception,softmax,1,0.8269230769230769,0.8262976885336041,0.825389284214434,0.9426990737246528,0.8254743501169265,0.964525672453428,677.7255101203918
Xception,softmax,2,0.8793706293706294,0.8793903529539762,0.8758071335690836,0.9599251303373695,0.8758246323449919,0.9699422413247956,756.397298336029
Xception,softmax,3,0.830122591943958,0.8151138812929156,0.8143935639956861,0.9436629662038207,0.8110644159933872,0.9639034216602348,748.8952867984772
Xception,softmax,4,0.8528896672504378,0.8424312704546848,0.844048706070999,0.952111793643464,0.8371544569176409,0.967500025946288,721.8380370140076
Xception,softmax,5,0.861646234676007,0.85706160156574,0.8580512863746304,0.9541170297271953,0.8550789015215211,0.9734285930057778,778.7600221633911
Xception,softmax,6,0.8809106830122592,0.8732873981944853,0.8736526900078597,0.9606179167107728,0.8721760025895621,0.9775793842784511,734.9553799629211
Xception,softmax,7,0.8528896672504378,0.8572788894671615,0.8540886705157074,0.9504335193505515,0.8554353517514781,0.9686249266506985,767.4239790439606
Xception,softmax,8,0.8581436077057794,0.8508364605557638,0.8517307568053837,0.9531273136702726,0.8488390465481678,0.9677804109238556,748.2205119132996
Xception,softmax,9,0.840630472854641,0.8308502901421166,0.8283122920169809,0.9473323541208326,0.8286663366881153,0.9686315943381943,758.9336037635803
Xception,softmax,10,0.8651488616462347,0.8671136085456771,0.8560151299586627,0.954557103967542,0.8586625142197024,0.9732684429027411,776.8713421821594
