Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,training_time
VGG16,softmax,1,0.8583916083916084,0.8829927305096061,0.8543512126010729,0.9530565384323304,0.858656371156883,0.9802665713079142,3041.328165769577
VGG16,softmax,2,0.8688811188811189,0.8829752638881425,0.8642559706701032,0.9562932793943003,0.8670415322888221,0.9797931267451563,3041.328165769577
VGG16,softmax,3,0.851138353765324,0.8745065965140453,0.8497371365740066,0.9525967866903524,0.8481365382584631,0.9780194166365663,3041.328165769577
VGG16,softmax,4,0.8231173380035026,0.8331187516865883,0.8270508242642,0.9422527509251992,0.8210292550638737,0.970319433193447,3041.328165769577
VGG16,softmax,5,0.8318739054290718,0.8692456562313842,0.8315447540213298,0.944599449852568,0.8338774598608706,0.980135489007592,3041.328165769577
VGG16,softmax,6,0.8581436077057794,0.8517540970471412,0.8513275736933505,0.9539956387312262,0.8462819853146517,0.9757060165174801,3041.328165769577
VGG16,softmax,7,0.8686514886164624,0.8914372762295463,0.8745885855413192,0.9555467378808817,0.8758728436183678,0.981179180761999,3041.328165769577
VGG16,softmax,8,0.8651488616462347,0.8727331979007957,0.8561538585792318,0.9554764539185858,0.8592617803468945,0.976994801473206,3041.328165769577
VGG16,softmax,9,0.8844133099824869,0.8942872460761635,0.8822742942088069,0.9630631852814899,0.879686581453335,0.9830833099964557,3041.328165769577
VGG16,softmax,10,0.8861646234676007,0.9018874131075767,0.883700739640729,0.9621699551409313,0.8868476476611523,0.9792939240223898,3041.328165769577
VGG16,svm,1,0.8636363636363636,0.8707959498357534,0.8633661605173775,0.9549333392677373,0.8635343157155239,0.9748872177568003,466.9832890033722
VGG16,svm,2,0.8881118881118881,0.8889051993917231,0.8844936394981635,0.9629212996300229,0.8850374948773401,0.9763765652828578,466.9832890033722
VGG16,svm,3,0.8633975481611208,0.8612240289069557,0.8577720614192763,0.9557212405171739,0.854057075418943,0.9738836511061915,466.9832890033722
VGG16,svm,4,0.8966725043782837,0.8978992710098291,0.8861738403139676,0.9656594464751709,0.8894897154807042,0.9727887141380428,466.9832890033722
VGG16,svm,5,0.8861646234676007,0.8930913536885828,0.882628011708633,0.96228274847012,0.8832772178284866,0.9771624665438647,466.9832890033722
VGG16,svm,6,0.8809106830122592,0.8831453051100959,0.8704896742195446,0.9605589044876854,0.8729169099406413,0.9747720103328481,466.9832890033722
VGG16,svm,7,0.8861646234676007,0.8957305406457949,0.8851251568139553,0.9612132563883385,0.8885263724816898,0.9803342213280283,466.9832890033722
VGG16,svm,8,0.8844133099824869,0.8859989713025022,0.8816116594847938,0.9620709913914234,0.8807580358400823,0.9751014588232261,466.9832890033722
VGG16,svm,9,0.87215411558669,0.8720683266719073,0.8701617563220103,0.9587403244076168,0.8669239736624681,0.9751430849743408,466.9832890033722
VGG16,svm,10,0.8914185639229422,0.8973070346940115,0.8858046645515243,0.9635872273080955,0.8892562289181536,0.9739531576322353,466.9832890033722
VGG16,rf,1,0.9020979020979021,0.9030673436397555,0.9021710834796788,0.9676752895952059,0.9010597574548019,0.9861315266981837,491.39080691337585
VGG16,rf,2,0.9178321678321678,0.9167261108261977,0.9154714332760854,0.9727331297060946,0.9153575033248798,0.9871474302389744,491.39080691337585
VGG16,rf,3,0.8966725043782837,0.8934304322517135,0.893374368042803,0.9664912678036239,0.8904292934176514,0.9854488093129172,491.39080691337585
VGG16,rf,4,0.9404553415061296,0.9403688131669683,0.9336077581300513,0.9800782564586475,0.9361227007663023,0.9885633316082034,491.39080691337585
VGG16,rf,5,0.9054290718038529,0.9077950711004047,0.9024572760588865,0.9686461932265369,0.9030280110919449,0.9886397725980698,491.39080691337585
VGG16,rf,6,0.9159369527145359,0.914652293844367,0.9092305256851033,0.9720111651668788,0.9108107658770219,0.9891997571936557,491.39080691337585
VGG16,rf,7,0.9246935201401051,0.9294462043079598,0.9247543386200445,0.9743945265212662,0.9263355894648628,0.9918675644580146,491.39080691337585
VGG16,rf,8,0.9211908931698775,0.9205718788158009,0.9175209740508248,0.9739709947609674,0.9177261344810951,0.987111084896956,491.39080691337585
VGG16,rf,9,0.9194395796847635,0.9156210420198873,0.9174496264118517,0.9738694806300262,0.9152214482581361,0.9891918023781354,491.39080691337585
VGG16,rf,10,0.9246935201401051,0.9267889033943056,0.9202258272141517,0.9747359871294656,0.9224866281557553,0.9898985638492598,491.39080691337585
ResNet101,softmax,1,0.8146853146853147,0.82885483486909,0.8102303254387496,0.9384854014217499,0.8135829376444769,0.9614495053831829,3930.8033809661865
ResNet101,softmax,2,0.8688811188811189,0.8699532566979994,0.8629604379598863,0.9564047046369069,0.86483358703181,0.9699838493822706,3930.8033809661865
ResNet101,softmax,3,0.8353765323992994,0.8294842417697637,0.8235578744862565,0.9460950918611312,0.825097021288654,0.9657396733787373,3930.8033809661865
ResNet101,softmax,4,0.7880910683012259,0.8438412206229956,0.7891147511370442,0.9302319373599417,0.7873026682809291,0.9712388800706018,3930.8033809661865
ResNet101,softmax,5,0.8283712784588442,0.8602727676032556,0.8261695344626757,0.9434184131759418,0.8302748664860213,0.9677097812372443,3930.8033809661865
