Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
DenseNet121,rf,1,0.9125874125874126,0.9128259348398894,0.9127513102715334,0.9711303977197718,0.9116906595275067,0.9897282751682072
DenseNet121,rf,2,0.9213286713286714,0.9207205264322054,0.9183887084359346,0.9738630149273907,0.9188184570100357,0.9887023771593847
DenseNet121,rf,3,0.9054290718038529,0.9009700125460857,0.9017502097077694,0.9691077627361663,0.8995610543639289,0.9886736954015499
DenseNet121,rf,4,0.9369527145359019,0.9334557879081824,0.9291579439668611,0.979134612556178,0.9309208691527309,0.9906774583971161
DenseNet121,rf,5,0.9106830122591943,0.9155718474197747,0.9078020792691973,0.9704003296251035,0.9090709103795658,0.9888415591236803
DenseNet121,rf,6,0.9176882661996497,0.9126811130495853,0.9108600618798355,0.9728143325876933,0.9112299526024056,0.9897721774114354
DenseNet121,rf,7,0.9246935201401051,0.9284365942332004,0.9241741092911255,0.974465280902629,0.9258632778333661,0.9928947693951881
DenseNet121,rf,8,0.9176882661996497,0.9144605777161451,0.9129428283159626,0.9727187936897737,0.9131124617179225,0.9871568544379532
DenseNet121,rf,9,0.9176882661996497,0.9140071286860518,0.9157871904428463,0.9734266801236057,0.9128725209730119,0.9902413571193833
DenseNet121,rf,10,0.9334500875656743,0.9357077157573845,0.9298381906139482,0.9777019161259378,0.9320332383164375,0.991864484332117
