Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
DenseNet121,softmax,1,0.8828671328671329,0.8901261550379018,0.8798290030155482,0.9612240736985441,0.8822219106912478,0.9793829047165188
DenseNet121,softmax,2,0.833916083916084,0.8572385152938481,0.8287522486561415,0.944998851158962,0.8256227077858647,0.9748685804638392
DenseNet121,softmax,3,0.8809106830122592,0.8880826453388373,0.8762188555623569,0.9617861750511436,0.8743541642348593,0.984737802518639
DenseNet121,softmax,4,0.8038528896672504,0.8560919247427657,0.8158231630365387,0.9360739688353006,0.8072619339424624,0.9773589845000981
DenseNet121,softmax,5,0.8809106830122592,0.900008362032758,0.8799227539119727,0.9606958633688036,0.8819434385218818,0.9800878695320092
DenseNet121,softmax,6,0.8984238178633975,0.9023396460614186,0.8942072253471778,0.966536553108359,0.8954657902800098,0.9826390055742658
DenseNet121,softmax,7,0.9001751313485113,0.9050024640889207,0.903480089981894,0.9662734863387412,0.9038162916184366,0.9855293495158423
DenseNet121,softmax,8,0.8774080560420315,0.8862902000650714,0.8697354635414337,0.9595890196093133,0.8725916926778996,0.9787079145503651
DenseNet121,softmax,9,0.8633975481611208,0.8937093739712701,0.8643552931307066,0.9567037262012124,0.8603342652179421,0.9852217755766111
DenseNet121,softmax,10,0.8774080560420315,0.8800639049591082,0.8785695871319716,0.9594419181194634,0.8764801544079013,0.9785448607867302
