Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
DenseNet121,svm,1,0.9108391608391608,0.9084888763197587,0.9096762043606883,0.9705488372078839,0.9085754299655937,0.9887167794963021
DenseNet121,svm,2,0.9230769230769231,0.9245654557538794,0.9200370600842862,0.974394421110203,0.9213455161431977,0.9912146907219119
DenseNet121,svm,3,0.9229422066549913,0.9197432374038544,0.9198134572471443,0.9751423402053704,0.9176002452554068,0.9911942141758614
DenseNet121,svm,4,0.9404553415061296,0.9380348257434259,0.9331298655343241,0.9801621745015471,0.9351081771783422,0.9903260806752641
DenseNet121,svm,5,0.9019264448336253,0.9072029757513628,0.8989785498574326,0.9675254300351994,0.9000715593889642,0.9866062547463699
DenseNet121,svm,6,0.9352014010507881,0.9349035285331813,0.9277439775774882,0.9784196259871043,0.9302152598508768,0.9925144613284222
DenseNet121,svm,7,0.9159369527145359,0.9227217545895996,0.9155437567110161,0.9713340497765791,0.9180420007313593,0.990932111946377
DenseNet121,svm,8,0.9159369527145359,0.9137702380752813,0.9123027842803962,0.9723166083105776,0.9123846742075984,0.9864981094655236
DenseNet121,svm,9,0.9159369527145359,0.9115646282737311,0.9136685463750497,0.9728982568640592,0.9108210230767146,0.990497239433559
DenseNet121,svm,10,0.9334500875656743,0.9361438485147747,0.930336936457733,0.9777437463954363,0.9324372247553788,0.9877862065558651
