Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
InceptionV3,rf,1,0.8479020979020979,0.8455266384564543,0.846465970560589,0.9497175228960655,0.8450644566293158,0.9638657592874224
InceptionV3,rf,2,0.8409090909090909,0.8366081655815809,0.8353909436328777,0.9472728557971266,0.8339145112882569,0.9652723557274226
InceptionV3,rf,3,0.8581436077057794,0.852202479338843,0.8509031198686372,0.9536882166524342,0.8485982834554592,0.9694981838812963
InceptionV3,rf,4,0.8966725043782837,0.8919875408964062,0.8859275632364804,0.9655253275222796,0.8880424447241854,0.974664228469349
InceptionV3,rf,5,0.8423817863397548,0.8422071069306089,0.8373123090741035,0.9477227608398371,0.8373257093395592,0.9669399296560359
InceptionV3,rf,6,0.861646234676007,0.8585350401810894,0.8522041986654638,0.9541238563972171,0.8524713727881414,0.9664423283060108
InceptionV3,rf,7,0.830122591943958,0.8333644233452473,0.8313943078949595,0.9429173352124667,0.8284649324386433,0.9611615596802472
InceptionV3,rf,8,0.8528896672504378,0.8437544641521324,0.845035138990363,0.9517278815516828,0.8428502555681073,0.96451788355362
InceptionV3,rf,9,0.8598949211908932,0.850138843728349,0.851060660212584,0.9540679794454576,0.8496994258206705,0.9668844570298231
InceptionV3,rf,10,0.8633975481611208,0.8602986111826643,0.8560240158309416,0.9544388275720046,0.8573801952009934,0.9681838641477959
