Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
InceptionV3,softmax,1,0.8181818181818182,0.8304077949295539,0.8112741014552463,0.9396745244851302,0.8120413438508067,0.9609425515841197
InceptionV3,softmax,2,0.8286713286713286,0.8324428571313515,0.8229473449488236,0.9432308466851766,0.8228103157156113,0.9694699202735072
InceptionV3,softmax,3,0.819614711033275,0.8510943424116584,0.8185150098943202,0.9425944204249972,0.8158012703932039,0.9706460406906696
InceptionV3,softmax,4,0.8021015761821366,0.8167192850637048,0.8087995337995338,0.9363466409600735,0.7938115254110507,0.9670203948248255
InceptionV3,softmax,5,0.8441330998248686,0.842222308886803,0.8414507732233313,0.9484845196300213,0.8415060104846382,0.9719624212682925
InceptionV3,softmax,6,0.7670753064798599,0.8014179941216009,0.7654983185836446,0.924350397170186,0.7514160661174483,0.9587929791692773
InceptionV3,softmax,7,0.7933450087565674,0.8257143517913891,0.8041163604794336,0.9309957341581198,0.799037132092233,0.9645948618259581
InceptionV3,softmax,8,0.8248686514886164,0.8268860258515431,0.8142120193239597,0.9420282375599354,0.8162845964046861,0.9661407318350483
InceptionV3,softmax,9,0.8353765323992994,0.845502434420786,0.829920613200336,0.9467765988898175,0.829082651115846,0.9701384314248114
InceptionV3,softmax,10,0.8161120840630472,0.851448367808662,0.8175925811493943,0.939164724929267,0.817395104388047,0.9713869243986816
