Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
ResNet101,rf,1,0.8583916083916084,0.8581100061399217,0.858409022764697,0.9532097579693325,0.8563513159835451,0.9729191800512179
ResNet101,rf,2,0.8706293706293706,0.8665089681311056,0.8656848646344166,0.9571507839127887,0.8647956842280287,0.9757630886234955
ResNet101,rf,3,0.8791593695271454,0.8720634009886479,0.8730599602283953,0.9605662914923655,0.8709154219473426,0.9762984691034543
ResNet101,rf,4,0.9141856392294221,0.9098817182979361,0.9061509880777396,0.9714803056272336,0.9076514267644032,0.9844706795386053
ResNet101,rf,5,0.8739054290718039,0.8730409203155943,0.8702485851632701,0.9582426664292693,0.8704288398581886,0.9762755794277567
ResNet101,rf,6,0.8809106830122592,0.8753098553745106,0.8699131823726101,0.9605437964558545,0.8706729073614224,0.9714575032386412
ResNet101,rf,7,0.8774080560420315,0.8782810314179631,0.8784355856348776,0.9589568927328449,0.8761519458892344,0.9782308999908785
ResNet101,rf,8,0.87215411558669,0.864594772928733,0.8662525161405759,0.9580436721509482,0.8642047422329306,0.9770955557719544
ResNet101,rf,9,0.8563922942206655,0.850547878215252,0.852606602482886,0.9528095681139973,0.8502697783738912,0.9741835345979584
ResNet101,rf,10,0.8704028021015762,0.865706489751723,0.8616133283635066,0.9569048548987767,0.862611716222403,0.978564444679507
