Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
ResNet101,softmax,1,0.8146853146853147,0.82885483486909,0.8102303254387496,0.9384854014217499,0.8135829376444769,0.9614495053831829
ResNet101,softmax,2,0.8688811188811189,0.8699532566979994,0.8629604379598863,0.9564047046369069,0.86483358703181,0.9699838493822706
ResNet101,softmax,3,0.8353765323992994,0.8294842417697637,0.8235578744862565,0.9460950918611312,0.825097021288654,0.9657396733787373
ResNet101,softmax,4,0.7880910683012259,0.8438412206229956,0.7891147511370442,0.9302319373599417,0.7873026682809291,0.9712388800706018
ResNet101,softmax,5,0.8283712784588442,0.8602727676032556,0.8261695344626757,0.9434184131759418,0.8302748664860213,0.9677097812372443
ResNet101,softmax,6,0.8056042031523643,0.8171261935896561,0.7981208781165502,0.9359763581242971,0.799161471524125,0.9622948274288501
ResNet101,softmax,7,0.8458844133099825,0.8712512900160423,0.849047309684714,0.9480090665003842,0.8534623276778255,0.9752672381404976
ResNet101,softmax,8,0.8371278458844134,0.8385186976946019,0.8282245987843002,0.9460198300094633,0.8305135871586597,0.9680297662789854
ResNet101,softmax,9,0.8021015761821366,0.8356051789154156,0.8006440504997147,0.9364220923332452,0.7977438217122683,0.9667626630860133
ResNet101,softmax,10,0.8143607705779334,0.8370410453743786,0.8161034745614408,0.9384022214152521,0.8156336118101136,0.9631236823397491
