Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
ResNet101,svm,1,0.8409090909090909,0.8401195401389501,0.8411254279351115,0.947263647163278,0.8398995652124119,0.9688302349622256
ResNet101,svm,2,0.8811188811188811,0.878884022112091,0.8774525448070047,0.9605169796861075,0.8774159600389795,0.9720286206559277
ResNet101,svm,3,0.8581436077057794,0.852182267298695,0.8539009693518977,0.9537129475920477,0.8505530333987054,0.9708629559730217
ResNet101,svm,4,0.8861646234676007,0.881397901211199,0.8752661970018658,0.9622761133855737,0.8773258559102994,0.9775767445444212
ResNet101,svm,5,0.8633975481611208,0.8667746245630639,0.8597441127346961,0.9547686672879885,0.8605007729914793,0.9687639500908176
ResNet101,svm,6,0.8528896672504378,0.844367469879518,0.8420135324922545,0.9513440282436909,0.8423313350282736,0.9654222498511983
ResNet101,svm,7,0.8546409807355516,0.8555540751472386,0.8547141483328614,0.951244106045653,0.854118788137451,0.9740428109300694
ResNet101,svm,8,0.8686514886164624,0.8639826556285292,0.8645627258313826,0.9567473058555052,0.8636683431833683,0.9724506741564627
ResNet101,svm,9,0.8546409807355516,0.8491414190984299,0.8510756115141863,0.9524254612023161,0.84874613128114,0.9710452967879352
ResNet101,svm,10,0.8493870402802102,0.8433080272070338,0.8425896645070331,0.9500729637156902,0.8426313341884953,0.9679266973863273
