Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
VGG16,rf,1,0.9020979020979021,0.9030673436397555,0.9021710834796788,0.9676752895952059,0.9010597574548019,0.9861315266981837
VGG16,rf,2,0.9178321678321678,0.9167261108261977,0.9154714332760854,0.9727331297060946,0.9153575033248798,0.9871474302389744
VGG16,rf,3,0.8966725043782837,0.8934304322517135,0.893374368042803,0.9664912678036239,0.8904292934176514,0.9854488093129172
VGG16,rf,4,0.9404553415061296,0.9403688131669683,0.9336077581300513,0.9800782564586475,0.9361227007663023,0.9885633316082034
VGG16,rf,5,0.9054290718038529,0.9077950711004047,0.9024572760588865,0.9686461932265369,0.9030280110919449,0.9886397725980698
VGG16,rf,6,0.9159369527145359,0.914652293844367,0.9092305256851033,0.9720111651668788,0.9108107658770219,0.9891997571936557
VGG16,rf,7,0.9246935201401051,0.9294462043079598,0.9247543386200445,0.9743945265212662,0.9263355894648628,0.9918675644580146
VGG16,rf,8,0.9211908931698775,0.9205718788158009,0.9175209740508248,0.9739709947609674,0.9177261344810951,0.987111084896956
VGG16,rf,9,0.9194395796847635,0.9156210420198873,0.9174496264118517,0.9738694806300262,0.9152214482581361,0.9891918023781354
VGG16,rf,10,0.9246935201401051,0.9267889033943056,0.9202258272141517,0.9747359871294656,0.9224866281557553,0.9898985638492598
