Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
VGG16,softmax,1,0.8583916083916084,0.8829927305096061,0.8543512126010729,0.9530565384323304,0.858656371156883,0.9802665713079142
VGG16,softmax,2,0.8688811188811189,0.8829752638881425,0.8642559706701032,0.9562932793943003,0.8670415322888221,0.9797931267451563
VGG16,softmax,3,0.851138353765324,0.8745065965140453,0.8497371365740066,0.9525967866903524,0.8481365382584631,0.9780194166365663
VGG16,softmax,4,0.8231173380035026,0.8331187516865883,0.8270508242642,0.9422527509251992,0.8210292550638737,0.970319433193447
VGG16,softmax,5,0.8318739054290718,0.8692456562313842,0.8315447540213298,0.944599449852568,0.8338774598608706,0.980135489007592
VGG16,softmax,6,0.8581436077057794,0.8517540970471412,0.8513275736933505,0.9539956387312262,0.8462819853146517,0.9757060165174801
VGG16,softmax,7,0.8686514886164624,0.8914372762295463,0.8745885855413192,0.9555467378808817,0.8758728436183678,0.981179180761999
VGG16,softmax,8,0.8651488616462347,0.8727331979007957,0.8561538585792318,0.9554764539185858,0.8592617803468945,0.976994801473206
VGG16,softmax,9,0.8844133099824869,0.8942872460761635,0.8822742942088069,0.9630631852814899,0.879686581453335,0.9830833099964557
VGG16,softmax,10,0.8861646234676007,0.9018874131075767,0.883700739640729,0.9621699551409313,0.8868476476611523,0.9792939240223898
