Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
Xception,rf,1,0.8601398601398601,0.8595828980695753,0.8593027798547572,0.953808304713449,0.8583586562881513,0.9691223175743349
Xception,rf,2,0.8671328671328671,0.8640995051254861,0.8621391297937178,0.9558997562796795,0.8607015113398351,0.9698284833246218
Xception,rf,3,0.8441330998248686,0.8354875598573304,0.8360709508587493,0.9490239241624163,0.8340557841310853,0.9692983591613072
Xception,rf,4,0.8791593695271454,0.8695795327057216,0.8681541653675412,0.9600405830771508,0.8679123025972497,0.9757088915971968
Xception,rf,5,0.8756567425569177,0.8792805558034894,0.872447951283303,0.9586582259873793,0.8731477279239012,0.9749586508129773
Xception,rf,6,0.8844133099824869,0.8805045669903683,0.8758984938793142,0.9616272429427042,0.8767687786279694,0.9746281478077286
Xception,rf,7,0.851138353765324,0.8524300907288349,0.853432574783425,0.9501090860276641,0.849977497171705,0.9762469372481503
Xception,rf,8,0.8563922942206655,0.8499603251873228,0.8496698202295219,0.952665755700287,0.848289903571492,0.9693522424711363
Xception,rf,9,0.851138353765324,0.8434598411732558,0.845325680607548,0.9512139561111446,0.8436699271151307,0.9707333337322065
Xception,rf,10,0.8686514886164624,0.8650775125486436,0.8634163571235776,0.9563067829115354,0.8631699685456136,0.9742636382877923
