Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
Xception,softmax,1,0.8444055944055944,0.8592784879577829,0.8389124896475031,0.9484614937258724,0.8405139887480245,0.9746834196102038
Xception,softmax,2,0.8706293706293706,0.8779882998277047,0.8657323719666483,0.9570820496202626,0.8683282887728184,0.9770706219314287
Xception,softmax,3,0.8441330998248686,0.8591856714652937,0.8400415124221491,0.9498196751641589,0.838297420144456,0.9770866441896872
Xception,softmax,4,0.8791593695271454,0.882061422627339,0.8786135485180071,0.9606431853693306,0.8761921378182602,0.9802367718189524
Xception,softmax,5,0.8896672504378283,0.8944797205747009,0.8882037613232141,0.9635507405546149,0.8889439894049321,0.9829428102366338
Xception,softmax,6,0.8791593695271454,0.8766128065382381,0.8767545040527422,0.9606154154225153,0.8729426205647911,0.9831295034439786
Xception,softmax,7,0.882661996497373,0.8992877052675857,0.8886640319928657,0.9604324807176958,0.8870491178927712,0.981016197047494
Xception,softmax,8,0.882661996497373,0.892389753941567,0.8763523665389337,0.9614829590032528,0.8789602980683975,0.9793096536005517
Xception,softmax,9,0.8528896672504378,0.8593858724243442,0.8442266359654705,0.9518561636321166,0.8441293928962896,0.9787101090319638
Xception,softmax,10,0.8441330998248686,0.8767426383264487,0.8445741430262093,0.9482808125825875,0.846490144999107,0.9809478621047848
