Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
Xception,svm,1,0.9090909090909091,0.9106378522333559,0.9087544778445933,0.9700326865094944,0.9080510172761369,0.9836701990302814
Xception,svm,2,0.9143356643356644,0.911278283353,0.9111213355210797,0.9717049365005254,0.9105620704821489,0.9864620206294156
Xception,svm,3,0.9054290718038529,0.90043108027135,0.9010602792433031,0.969312304431519,0.8989237756601143,0.9852225249653722
Xception,svm,4,0.9316987740805605,0.9262858271647273,0.922902097902098,0.9775408164546153,0.9242240431961152,0.9880339048430187
Xception,svm,5,0.9246935201401051,0.9252790005149196,0.9223962679984725,0.9750459384927558,0.922803109244021,0.9879315745055648
Xception,svm,6,0.9264448336252189,0.9241732415165874,0.9208015229644241,0.9756881995076949,0.9218716763341768,0.9910231273542748
Xception,svm,7,0.9211908931698775,0.9237735961759056,0.9223640148598622,0.9733251457128134,0.9226176022786081,0.9901105672224926
Xception,svm,8,0.9054290718038529,0.9016558428977053,0.9005011779265512,0.96884049742721,0.9004978908061423,0.9841840561102406
Xception,svm,9,0.9036777583187391,0.9018609568608745,0.9030651155120205,0.969011638688889,0.8993278368059464,0.9878152552459172
Xception,svm,10,0.9229422066549913,0.923819441292095,0.9171569509519624,0.9742852326409788,0.9194269303898484,0.9895586540297634
